gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group B,associate's degree,standard,none,51,40,38
female,group A,some college,standard,none,94,92,94
female,group C,some college,standard,completed,83,81,84
female,group B,high school,standard,none,67,83,81
male,group D,some college,free/reduced,none,60,60,63
male,group E,some high school,free/reduced,completed,71,59,53
male,group A,some college,standard,completed,79,71,69
male,group C,high school,standard,none,79,82,74
female,group E,associate's degree,free/reduced,none,79,85,78
male,group B,master's degree,standard,none,72,61,68
male,group B,high school,standard,completed,81,80,76
female,group E,some high school,standard,completed,89,100,100
male,group B,some high school,standard,none,63,60,55
male,group C,high school,free/reduced,completed,66,67,64
female,group C,some college,standard,completed,68,73,79
female,group B,associate's degree,standard,none,50,63,61
female,group D,bachelor's degree,standard,none,55,53,56
female,group A,some high school,free/reduced,completed,45,71,66
female,group B,some high school,free/reduced,none,46,58,56
male,group E,master's degree,standard,none,75,64,65
female,group A,some college,free/reduced,none,56,71,67
female,group E,associate's degree,standard,completed,66,62,62
female,group B,high school,standard,none,68,76,74
male,group C,associate's degree,standard,none,72,55,59
female,group D,some college,standard,none,65,72,69
female,group B,master's degree,standard,none,85,89,92
female,group C,associate's degree,standard,completed,69,67,70
male,group B,some college,free/reduced,none,44,45,41
male,group E,some high school,free/reduced,completed,79,83,68
female,group D,associate's degree,standard,none,69,73,70
female,group B,associate's degree,free/reduced,none,47,51,44
female,group C,associate's degree,standard,completed,69,88,83
female,group C,bachelor's degree,standard,none,73,85,85
female,group D,associate's degree,standard,completed,47,73,72
female,group C,some college,standard,none,69,75,77
female,group D,associate's degree,standard,completed,89,82,91
female,group A,high school,standard,none,73,86,82
male,group B,bachelor's degree,free/reduced,completed,67,65,67
female,group D,some college,standard,none,76,72,72
male,group E,high school,standard,none,80,75,67
female,group B,some high school,standard,none,52,62,54
male,group D,some college,standard,none,87,75,74
male,group A,some college,standard,none,68,58,53
female,group A,high school,free/reduced,completed,70,85,86
female,group C,associate's degree,standard,completed,89,92,100
female,group B,associate's degree,standard,completed,82,82,88
female,group B,some college,standard,none,60,67,61
female,group D,some college,standard,none,53,59,61
female,group D,associate's degree,free/reduced,completed,45,60,67
male,group B,high school,standard,none,63,63,63
female,group C,high school,standard,none,55,59,65
female,group D,some college,standard,completed,74,88,89
male,group C,some high school,standard,none,72,59,55
female,group E,high school,standard,completed,56,61,69
female,group D,some high school,free/reduced,none,37,57,50
male,group A,some college,free/reduced,none,70,73,62
female,group A,high school,standard,completed,83,95,96
female,group B,some high school,standard,completed,81,92,83
female,group C,bachelor's degree,free/reduced,completed,66,89,80
female,group D,high school,standard,none,87,100,93
male,group D,some college,standard,completed,59,50,54
female,group B,some high school,standard,none,62,67,67
male,group C,high school,standard,none,82,84,84
male,group C,some high school,standard,completed,100,88,87
male,group C,associate's degree,free/reduced,completed,51,42,49
female,group A,bachelor's degree,standard,completed,68,73,77
male,group D,bachelor's degree,standard,none,46,47,46
female,group B,high school,standard,completed,66,74,79
male,group D,some college,standard,completed,99,92,89
female,group C,some college,standard,completed,66,78,78
male,group B,some college,standard,none,75,66,61
female,group C,some high school,free/reduced,none,27,33,28
male,group E,bachelor's degree,free/reduced,none,77,64,65
female,group C,high school,standard,none,39,45,44
male,group C,bachelor's degree,standard,completed,77,82,76
female,group C,associate's degree,standard,none,62,65,63
male,group D,high school,standard,none,58,55,51
female,group B,some high school,free/reduced,completed,55,70,66
male,group A,associate's degree,standard,none,75,68,62
female,group B,bachelor's degree,free/reduced,none,41,62,57
female,group D,high school,standard,completed,52,61,63
male,group C,high school,free/reduced,none,74,62,63
male,group B,bachelor's degree,standard,none,64,55,49
female,group D,some college,standard,none,58,63,64
female,group D,high school,free/reduced,completed,75,88,87
female,group E,associate's degree,standard,none,74,74,75
female,group C,high school,standard,none,42,50,43
male,group E,associate's degree,standard,none,83,62,62
male,group E,high school,free/reduced,completed,58,49,51
female,group B,associate's degree,free/reduced,none,40,55,55
male,group C,bachelor's degree,standard,none,72,61,56
female,group A,high school,standard,none,49,55,54
female,group D,master's degree,free/reduced,none,50,69,67
female,group B,high school,standard,completed,51,62,66
male,group B,associate's degree,free/reduced,none,39,48,42
female,group D,some high school,standard,completed,87,90,94
male,group B,associate's degree,standard,none,62,58,51
female,group E,some high school,standard,none,50,60,55
male,group B,associate's degree,free/reduced,completed,41,51,53
female,group B,master's degree,standard,none,67,69,68
male,group C,some college,standard,none,70,62,58
female,group D,some college,standard,none,78,77,84
female,group D,some college,free/reduced,none,55,75,68
male,group B,bachelor's degree,standard,completed,100,91,90
male,group E,some college,free/reduced,completed,66,53,55
female,group C,high school,free/reduced,completed,42,62,60
male,group B,master's degree,standard,none,68,65,55
male,group C,high school,free/reduced,none,63,73,68
female,group A,some college,standard,completed,63,70,72
male,group B,some college,standard,completed,74,72,64
female,group D,some high school,free/reduced,none,24,42,41
male,group D,some college,standard,completed,100,88,91
female,group C,master's degree,standard,none,74,80,72
female,group C,bachelor's degree,standard,completed,64,75,74
male,group B,some high school,standard,none,57,51,49
female,group A,high school,standard,none,80,87,86
female,group E,associate's degree,standard,completed,74,82,76
female,group E,some college,standard,none,56,61,52
male,group B,master's degree,free/reduced,none,73,72,65
male,group E,some high school,free/reduced,completed,92,86,84
female,group B,bachelor's degree,free/reduced,none,83,90,87
female,group C,some college,standard,none,46,51,48
male,group D,associate's degree,standard,none,66,66,67
female,group D,some college,free/reduced,completed,71,92,86
female,group C,associate's degree,standard,completed,88,97,100
male,group D,high school,free/reduced,none,83,75,71
male,group C,high school,standard,completed,71,66,64
male,group C,high school,standard,completed,74,74,76
male,group A,associate's degree,standard,none,87,90,85
female,group B,bachelor's degree,standard,none,68,70,74
male,group A,high school,standard,none,55,49,41
female,group A,some high school,standard,completed,81,91,97
male,group C,high school,free/reduced,none,53,61,57
female,group C,some college,standard,none,93,100,100
female,group D,some high school,standard,none,91,89,94
female,group C,bachelor's degree,standard,none,59,66,67
male,group C,some college,standard,none,67,67,69
male,group B,master's degree,standard,none,82,70,62
female,group A,some college,standard,none,59,71,73
female,group B,some high school,standard,completed,59,78,80
female,group E,some high school,standard,none,86,77,79
female,group C,bachelor's degree,standard,none,51,55,64
female,group D,some college,free/reduced,none,42,63,62
male,group B,high school,free/reduced,none,72,63,62
male,group B,high school,standard,completed,71,76,67
male,group C,some college,standard,none,86,69,68
male,group D,some college,free/reduced,none,77,70,69
female,group D,some high school,free/reduced,none,51,53,58
male,group C,some college,standard,completed,67,68,67
male,group C,associate's degree,free/reduced,completed,56,54,54
male,group A,some college,standard,none,54,58,45
female,group C,associate's degree,standard,none,68,71,68
male,group B,master's degree,standard,completed,87,94,89
male,group B,bachelor's degree,free/reduced,completed,78,69,78
male,group B,associate's degree,free/reduced,none,50,58,55
female,group C,some high school,standard,completed,72,93,89
male,group D,high school,standard,none,91,95,87
male,group C,some college,standard,none,64,54,44
male,group C,some college,standard,none,78,75,71
female,group B,some high school,free/reduced,completed,73,86,83
female,group C,associate's degree,standard,none,64,70,74
female,group E,associate's degree,free/reduced,none,67,74,70
female,group E,bachelor's degree,standard,completed,100,100,100
male,group D,bachelor's degree,standard,completed,89,77,85
male,group D,some college,standard,none,98,89,92
male,group B,high school,standard,none,82,69,66
female,group D,high school,standard,none,76,79,87
female,group B,bachelor's degree,standard,completed,60,66,73
male,group B,bachelor's degree,free/reduced,none,57,69,60
female,group B,master's degree,standard,completed,65,82,87
male,group B,some college,standard,none,51,47,45
male,group D,some college,standard,none,59,58,63
female,group E,some college,standard,completed,99,100,100
male,group C,associate's degree,standard,none,67,67,66
female,group C,bachelor's degree,standard,none,88,100,99
male,group C,some high school,standard,completed,57,52,56
male,group C,high school,standard,none,68,58,50
female,group C,master's degree,standard,completed,72,82,79
female,group B,bachelor's degree,standard,completed,80,98,99
male,group D,some high school,standard,completed,76,63,68
female,group B,high school,free/reduced,none,60,83,75
female,group A,some college,standard,none,49,57,60
male,group E,high school,free/reduced,completed,66,76,67
female,group C,some high school,standard,none,72,75,78
male,group B,master's degree,standard,none,77,73,68
male,group A,some high school,standard,completed,74,75,75
male,group D,some college,standard,none,51,50,49
female,group C,associate's degree,standard,none,53,66,64
female,group C,associate's degree,standard,completed,55,69,78
female,group D,high school,standard,completed,66,82,81
male,group C,bachelor's degree,standard,completed,91,86,91
female,group C,high school,free/reduced,none,44,50,48
female,group B,some college,free/reduced,none,44,53,52
male,group D,associate's degree,free/reduced,none,66,59,58
male,group D,some college,standard,completed,96,94,92
female,group C,some college,free/reduced,completed,47,72,70
male,group C,high school,standard,completed,70,73,63
female,group D,associate's degree,standard,completed,71,74,77
female,group B,bachelor's degree,standard,none,78,89,88
female,group B,some college,standard,none,68,75,74
male,group D,associate's degree,standard,none,94,91,91
male,group C,high school,free/reduced,none,69,72,68
female,group A,some college,standard,none,67,63,71
female,group B,associate's degree,standard,none,45,55,55
female,group C,bachelor's degree,free/reduced,none,52,62,64
male,group C,some college,standard,none,51,41,45
male,group D,associate's degree,free/reduced,none,57,63,55
female,group C,some high school,standard,completed,46,61,63
female,group D,associate's degree,free/reduced,none,51,69,62
female,group A,some college,free/reduced,none,59,68,72
male,group B,associate's degree,standard,completed,68,71,62
male,group B,high school,standard,none,61,57,43
female,group C,bachelor's degree,standard,none,72,79,75
male,group E,some high school,standard,none,74,68,57
female,group D,some high school,free/reduced,none,46,53,54
male,group B,high school,standard,none,81,72,64
male,group D,some high school,standard,completed,97,89,91
female,group E,high school,free/reduced,none,38,54,44
female,group B,some high school,standard,none,73,69,70
male,group B,some college,standard,none,72,60,63
male,group A,some college,free/reduced,none,70,62,61
male,group B,some college,standard,completed,69,65,59
female,group D,high school,standard,none,63,76,79
female,group C,associate's degree,free/reduced,completed,47,70,69
male,group D,high school,standard,none,75,69,71
male,group B,some college,standard,none,71,69,69
female,group B,some college,standard,completed,51,59,63
female,group E,some high school,standard,none,72,68,67
female,group C,some college,standard,none,90,95,92
male,group B,master's degree,free/reduced,none,71,76,73
male,group D,associate's degree,standard,none,79,83,83
male,group B,some college,standard,none,70,66,64
male,group D,bachelor's degree,standard,none,57,51,51
male,group B,high school,standard,none,56,57,49
male,group D,some high school,standard,completed,60,60,58
male,group A,some college,standard,none,72,74,69
male,group C,high school,standard,completed,54,62,59
male,group B,bachelor's degree,standard,completed,81,69,76
male,group A,high school,free/reduced,none,59,55,53
female,group D,high school,standard,none,48,49,47
female,group C,bachelor's degree,standard,none,78,85,84
male,group D,high school,free/reduced,completed,57,60,64
female,group C,master's degree,standard,completed,99,100,100
male,group D,some college,standard,completed,86,94,91
female,group B,associate's degree,free/reduced,none,45,65,61
male,group C,master's degree,free/reduced,none,85,77,71
male,group C,some high school,standard,none,45,41,42
male,group D,associate's degree,standard,none,78,65,68
female,group B,some college,free/reduced,completed,66,77,77
male,group B,associate's degree,standard,completed,58,52,49
female,group E,some high school,free/reduced,completed,55,63,63
female,group D,some high school,standard,completed,77,92,90
female,group C,some high school,free/reduced,completed,53,53,59
female,group E,some college,standard,none,38,48,48
female,group C,some college,standard,none,64,67,64
male,group A,some high school,standard,none,81,80,74
female,group D,associate's degree,standard,completed,71,82,83
female,group A,some high school,free/reduced,completed,45,60,61
male,group D,some high school,standard,none,70,62,70
female,group A,master's degree,free/reduced,none,64,72,68
male,group E,some college,standard,none,83,86,77
female,group B,associate's degree,free/reduced,none,42,56,52
female,group E,associate's degree,standard,none,89,90,91
male,group D,bachelor's degree,free/reduced,completed,63,50,59
male,group C,high school,free/reduced,completed,56,64,62
female,group D,some high school,standard,none,59,61,61
male,group C,some high school,standard,none,48,52,38
female,group B,high school,standard,completed,81,100,96
female,group E,associate's degree,standard,none,86,85,83
female,group D,high school,free/reduced,none,37,49,52
male,group C,associate's degree,standard,none,82,82,74
female,group C,master's degree,free/reduced,completed,72,86,87
male,group C,associate's degree,free/reduced,none,55,56,47
female,group B,some high school,free/reduced,none,33,33,34
male,group E,some college,standard,none,78,70,68
male,group E,some college,standard,completed,95,94,92
male,group B,some high school,free/reduced,none,61,62,57
female,group D,associate's degree,standard,none,53,58,62
female,group D,high school,standard,none,69,82,81
female,group B,some high school,free/reduced,completed,31,43,44
female,group D,bachelor's degree,standard,completed,100,100,100
male,group C,master's degree,standard,none,67,68,67
female,group C,some high school,standard,none,56,58,57
male,group C,some college,free/reduced,none,82,77,71
female,group E,some high school,standard,completed,100,100,100
male,group D,master's degree,free/reduced,none,47,45,46
male,group E,some college,free/reduced,completed,80,88,79
male,group B,associate's degree,standard,none,78,68,73
male,group C,high school,standard,none,67,65,58
female,group E,some college,standard,none,61,74,75
male,group A,associate's degree,standard,none,65,61,57
female,group C,some college,standard,none,84,90,85
male,group B,some high school,free/reduced,none,57,58,52
female,group C,some college,standard,none,66,81,73
male,group B,high school,standard,none,66,57,59
female,group B,high school,standard,none,78,75,76
female,group C,high school,free/reduced,completed,61,70,74
male,group C,associate's degree,standard,none,52,64,61
female,group D,master's degree,standard,none,76,90,96
male,group B,some college,free/reduced,completed,50,47,49
male,group D,bachelor's degree,standard,none,81,71,76
male,group C,some high school,standard,none,69,66,56
female,group B,some college,free/reduced,none,37,53,46
female,group B,bachelor's degree,standard,none,80,79,81
male,group B,high school,standard,completed,63,61,56
male,group C,high school,free/reduced,completed,51,58,61
male,group C,associate's degree,standard,none,69,66,69
female,group C,bachelor's degree,standard,none,92,92,95
male,group E,high school,standard,completed,77,76,77
male,group E,some college,free/reduced,none,93,86,81
male,group B,some high school,standard,none,68,62,61
female,group D,high school,free/reduced,completed,54,64,71
male,group C,associate's degree,free/reduced,completed,84,80,83
female,group A,associate's degree,standard,completed,67,70,75
female,group B,bachelor's degree,free/reduced,none,40,60,63
male,group B,some college,standard,completed,76,62,70
female,group B,high school,standard,none,53,52,60
female,group B,some college,free/reduced,completed,71,84,90
male,group B,some college,standard,none,68,57,56
male,group A,high school,free/reduced,none,53,52,51
female,group D,master's degree,standard,completed,69,82,87
male,group D,some college,standard,none,62,64,63
female,group B,master's degree,standard,completed,59,70,74
male,group D,high school,standard,none,76,60,59
female,group E,some high school,standard,completed,79,89,87
female,group C,associate's degree,standard,completed,62,58,66
female,group D,some college,free/reduced,none,66,69,73
male,group C,associate's degree,standard,none,70,62,65
male,group D,high school,free/reduced,completed,66,54,62
male,group E,bachelor's degree,standard,completed,86,81,84
male,group B,high school,standard,none,46,48,41
male,group D,high school,free/reduced,none,48,47,44
female,group D,high school,standard,completed,55,71,63
male,group D,high school,free/reduced,completed,58,58,59
female,group C,bachelor's degree,standard,completed,95,89,100
male,group B,associate's degree,free/reduced,none,58,63,56
male,group B,high school,standard,none,63,66,52
female,group E,high school,free/reduced,completed,50,59,58
female,group D,high school,standard,none,74,80,82
male,group D,high school,standard,completed,72,62,61
female,group B,some high school,standard,none,78,78,76
male,group B,associate's degree,standard,none,64,57,53
male,group B,associate's degree,free/reduced,completed,57,60,58
male,group C,some high school,free/reduced,none,69,70,66
female,group B,high school,standard,completed,53,66,63
male,group B,bachelor's degree,standard,none,70,66,66
